item_slug,pref,city,lat,lng,relation_type,note_ja,note_en,source_url,source_title,source_publisher,source_accessed_at
shako,千葉県,船橋市,35.6926,139.9857,名産地,遠浅の干潟が広がる東京湾奥は伝統的なシャコの漁場とされる。,The shallow tidal flats at the head of Tokyo Bay are a traditional fishing ground.,,,,
hotate,北海道,猿払村,45.1069,142.5386,名産地,国内有数のホタテ水揚げ量を誇る自治体とされる。,One of Japan's leading scallop-landing municipalities.,,,,
hotate,青森県,むつ市,41.2934,141.2183,名産地,陸奥湾は稚貝を垂下式で育てる養殖が盛んな海域とされる。,Mutsu Bay is a major area for hanging-culture scallop farming.,,,,
awabi,千葉県,館山市,34.9959,139.8698,名産地,房総半島は海女漁の伝統が続くアワビの主産地の一つとされる。,The Boso Peninsula keeps an ama free-diving tradition for this shellfish.,,,,
awabi,岩手県,宮古市,39.6421,141.9556,名産地,三陸沿岸は寒流と暖流が交わりアワビの餌となる海藻が豊富とされる。,"The Sanriku coast, where cold and warm currents meet, grows the seaweed this shellfish feeds on.",,,,
sazae,三重県,志摩市,34.3284,136.8319,名産地,海女漁の盛んな志摩の岩礁域が主な漁場の一つとされる。,"The rocky reefs of Shima, worked by ama divers, are a notable fishing ground.",,,,
hamaguri,三重県,桑名市,35.0665,136.6941,本場,木曽三川が注ぎ込む伊勢湾の汽水域で育ち、殻が薄く身がふっくらするとされ、江戸期から「その手は桑名の焼き蛤」の洒落で知られてきた。,"Raised in the brackish waters where the Kiso Three Rivers meet Ise Bay, giving thin shells and plump meat — famous since the Edo period.",https://www.city.kuwana.lg.jp/norin/shigoto/sangyou/26-11412-281-630.html,,,
asari,熊本県,熊本市,32.8032,130.7079,名産地,遠浅で栄養豊富な有明海が主な漁場の一つとされる。,"The shallow, nutrient-rich Ariake Sea is a major fishing ground.",,,,
asari,愛知県,西尾市,34.858,137.062,名産地,三河湾も潮干狩りとアサリ漁で知られる海域とされる。,Mikawa Bay is also known for clam-digging and asari fishing.,,,,
shijimi,島根県,松江市,35.4723,133.0505,本場,宍道湖は淡水と海水が入り混じる汽水湖で、この環境がヤマトシジミの生育に適しているとされ、全国有数の漁獲量を誇る。,"Lake Shinji is a brackish lake where fresh and salt water mix, an environment well suited to this species, giving it one of Japan's largest catches.",https://www.pref.shimane.lg.jp/industry/suisan/shinkou/kawa_mizuumi/yutakana/shijimi_seitai.html,,,
hokkigai,北海道,苫小牧市,42.6339,141.6039,名産地,市の魚に定められるほどホッキ貝と結びつきの深い港町とされる。,A port town so tied to this clam that it is designated the city's official fish.,,,,
tsubugai,北海道,枝幸町,44.953,142.585,名産地,オホーツク海沿岸はツブ貝漁が盛んな海域とされる。,The Okhotsk Sea coast here is a notable whelk fishing ground.,,,,
akagai,宮城県,名取市,38.1666,140.913,名産地,閖上をはじめ仙台湾沿岸が主な水揚げ地の一つとされる。,"Sendai Bay, including the Yuriage area, is a notable landing area.",,,,
torigai,岡山県,笠岡市,34.5011,133.5027,名産地,遠浅の干潟が広がる瀬戸内海が主な漁場の一つとされる。,The Seto Inland Sea's shallow tidal flats are a notable fishing ground.,,,,
mirugai,千葉県,富津市,35.3038,139.8548,名産地,遠浅の東京湾奥が主な漁場の一つとされる。,The shallow inner waters of Tokyo Bay are a notable fishing ground.,,,,
bakagai,千葉県,旭市,35.7222,140.6503,名産地,九十九里浜は遠浅の砂浜が続きバカガイ漁が盛んな海域とされる。,The shallow sands of Kujukuri Beach are a notable fishing ground.,,,,
surume-ika,北海道,函館市,41.7687,140.7291,名産地,夜のいさり火漁が観光にもなるほどイカ漁で知られる港町とされる。,A port so tied to squid fishing that its night-time fishing-boat lights draw tourists.,,,,
yari-ika,兵庫県,淡路市,34.5257,134.8919,名産地,潮流の速い明石海峡周辺も漁場の一つとされる。,The fast currents around the Akashi Strait are among its fishing grounds.,,,,
aori-ika,長崎県,五島市,32.6959,128.8419,名産地,対馬暖流の影響を受ける温暖な海域が主な漁場の一つとされる。,The warm waters shaped by the Tsushima Current are a notable fishing ground.,,,,
hotaru-ika,富山県,富山市,36.6953,137.2113,名産地,富山湾は棚状に切り立つ独特の海底地形により産卵群が浅場まで上がりやすく、定置網やすくい取りでの観光的な漁が知られる。,"Toyama Bay's shelf-like undersea slope lets spawning squid rise close to shore, known for both net fishing and hand-scooping tours.",https://www.info-toyama.com/stories/hotaruika-toyama,,,
sumi-ika,岡山県,岡山市,34.6551,133.9195,名産地,遠浅で餌となる小魚が多い瀬戸内海が主な漁場の一つとされる。,"The shallow, baitfish-rich waters of the Seto Inland Sea are a notable fishing ground.",,,,
madako,兵庫県,明石市,34.6427,134.9945,本場,明石海峡は潮流が速く餌となるカニやエビが豊富で、流されまいと踏ん張る分、足が太く短く締まったタコに育つとされる。,"The fast currents of the Akashi Strait are rich in crab and shrimp prey; bracing against the flow is said to give the octopus thick, short, firm legs.",https://www.city.akashi.lg.jp/seisaku/seisaku_shitsu/20130701_takaramono_3.html,,,
mizudako,北海道,森町,42.1097,140.5875,名産地,噴火湾は水温の低いミズダコの好漁場の一つとされる。,Funka Bay's cold water makes it a notable fishing ground for this octopus.,,,,
iidako,香川県,小豆島町,34.5011,134.1758,名産地,遠浅の瀬戸内海沿岸はイイダコ壺漁の伝統が残る海域とされる。,The shallow Seto Inland Sea coast here keeps a tradition of pot-fishing for this octopus.,,,,
bafun-uni,北海道,礼文町,45.3236,141.0398,名産地,昆布を主食とする礼文島周辺は身入りのよいウニの産地とされる。,"Around Rebun Island, where it feeds on kelp, the urchin is said to fill out especially well.",,,,
murasaki-uni,岩手県,宮古市,39.6421,141.9556,名産地,三陸沿岸の岩礁域はウニの餌となる海藻が豊富とされる。,The rocky Sanriku coast is rich in the seaweed this urchin feeds on.,,,,
namako,石川県,金沢市,36.5613,136.6562,名産地,冬の日本海沿岸はナマコ漁が盛んな海域の一つとされる。,The winter Sea of Japan coast here is a notable fishing ground.,,,,
hoya,宮城県,女川町,38.446,141.455,本場,入り組んだリアス式海岸と親潮・黒潮が混ざる海域が養殖に適しているとされ、国内養殖の中心地として知られる。,"The intricate ria coastline and the mixing of the Oyashio and Kuroshio currents suit aquaculture here, making it Japan's main farming center.",https://www.pride-fish.jp/JPF/pref/detail.php?pk=1433903024,,,
makonbu,北海道,函館市,41.8977,140.825,名産地,旧南茅部町沿岸は身が厚く切り口が白い「白口浜真昆布」の産地として知られ、国内昆布生産量の1割を超えるとされる。,"The former Minamikayabe coast is known for thick, white-cut kelp, producing over a tenth of Japan's total kelp harvest.",http://www.jf-minamikayabe.or.jp/makonbu/,,,
rausu-konbu,北海道,羅臼町,44.0378,145.1836,名産地,世界自然遺産・知床半島の付け根に位置し、栄養豊富な海域で育った昆布が水揚げされる。,"Landed at the base of the Shiretoko Peninsula, a UNESCO World Natural Heritage site, in nutrient-rich waters.",https://kanko.rausu-town.jp/about,,,
rishiri-konbu,北海道,利尻富士町,45.1785,141.235,名産地,利尻島・礼文島を中心とした道北沿岸で育ち、冷たく澄んだ海が上品な出汁につながるとされる。,"Grown along the northern Hokkaido coast around Rishiri and Rebun islands; the cold, clear sea is said to yield its refined broth.",https://www.pref.hokkaido.lg.jp/sr/gid/fis091.html,,,
hidaka-konbu,北海道,新ひだか町,42.34,142.36,名産地,旧三石町沿岸が主産地で、100年以上変わらぬ天日干しの製法が受け継がれているとされる。,"The former Mitsuishi coast is the main producing area, said to keep a sun-drying method unchanged for over a century.",https://www.shinhidaka-hokkaido.jp/hotnews/detail/00000168.html,,,
wakame,徳島県,鳴門市,34.1731,134.6077,本場,鳴門海峡の激しい渦潮にもまれて育つため肉厚で歯切れがよいとされ、19世紀に考案された「灰干し」の保存加工でも知られる。,"Buffeted by the strong whirlpools of the Naruto Strait, it is said to grow thick and crisp; also known for the ash-drying preservation method devised here in the 19th century.",https://www.pride-fish.jp/JPF/pref/detail.php?pk=1468224633,,,
wakame,岩手県,宮古市,39.6421,141.9556,名産地,三陸沿岸は養殖ワカメの一大産地として知られる。,The Sanriku coast is a major farmed-wakame producing area.,,,,
hijiki,三重県,伊勢市,34.4859,136.7098,名産地,伊勢志摩の岩礁域は古くからヒジキ漁が行われてきた海域とされる。,The rocky Ise-Shima coast has long been worked for this seaweed.,,,,
hijiki,千葉県,館山市,34.9959,139.8698,名産地,房総半島南端も国内有数のヒジキ産地とされる。,The southern tip of the Boso Peninsula is also a leading producing area.,,,,
nori,佐賀県,佐賀市,33.2494,130.2988,本場,有明海は最大6mにも達する国内有数の干満差を持ち、この環境が支柱式養殖と旨みの凝縮に適しているとされる。,"The Ariake Sea has one of Japan's largest tidal ranges, up to 6m, an environment said to suit pole-farming and flavor concentration.",https://www.jf-sariake.or.jp/page/feature.html,,,
mozuku,沖縄県,恩納村,26.5039,127.8564,名産地,全国の養殖生産量の99%以上を沖縄県が占めるとされ、中でも恩納村は主産地の一つとして知られる。,"Okinawa Prefecture is said to account for over 99% of Japan's farmed output, with Onna Village among its leading producing areas.",https://www.mozukukyo.org/mozuku/,,,
aosa,愛知県,西尾市,34.858,137.062,名産地,一色港周辺の三河湾は国内有数のアオサ産地とされる。,Mikawa Bay around Isshiki port is one of Japan's leading producing areas.,,,,
aosa,沖縄県,那覇市,26.2124,127.6809,名産地,沖縄では「あーさ」と呼ばれ、汁物に欠かせない海藻として親しまれている。,"In Okinawa, called ""aasa,"" it is a familiar staple in soup.",,,,
tororo-konbu,福井県,敦賀市,35.6486,136.0553,名産地,江戸期に北前船で運ばれた昆布を酢漬けにして保存・加工する産業が敦賀で発達したとされる。,"During the Edo period, the trade of vinegar-curing kelp brought by Kitamaebune ships is said to have developed into an industry here.",https://www.maff.go.jp/j/keikaku/syokubunka/traditional-foods/menu/tororo_konbu.html,,,
